player_id,player,team,position,minute,location,dribble_outcome
159764,Jorge Ortiz Mendoza,Goa,Left Wing,92,"{98.4,29.0}",Complete
159764,Jorge Ortiz Mendoza,Goa,Left Wing,95,"{100.4,28.2}",Complete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,2,"{102.3,5.9}",Incomplete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,6,"{95.0,63.3}",Complete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,67,"{45.9,66.5}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Midfield,3,"{48.1,11.8}",Incomplete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Left Center Forward,6,"{92.2,4.3}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Midfield,33,"{93.7,6.1}",Complete
124907,Liston Colaco,ATK Mohun Bagan,Left Midfield,33,"{107.0,24.8}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Midfield,34,"{94.7,14.3}",Complete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Left Center Forward,43,"{54.5,38.7}",Complete
124907,Liston Colaco,ATK Mohun Bagan,Left Midfield,50,"{71.8,3.2}",Complete
124907,Liston Colaco,ATK Mohun Bagan,Left Midfield,76,"{44.6,7.4}",Complete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,34,"{64.5,66.7}",Complete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,34,"{64.2,61.4}",Complete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,44,"{60.3,23.1}",Incomplete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,56,"{37.7,58.8}",Complete
159764,Jorge Ortiz Mendoza,Goa,Left Wing,74,"{69.2,48.9}",Incomplete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,68,"{93.2,19.6}",Complete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,68,"{95.3,25.6}",Complete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,70,"{64.7,30.7}",Complete
