Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
104,Diego López,es ESP,GK,Espanyol,es La Liga,39,1981,36,36,3177,35.3,49,1.39,152,106,69.7,10,12,14,10,27.8,4,3,0,1,0,Matches,73683fa9
105,Pau López,es ESP,GK,Marseille,fr Ligue 1,26,1994,29,29,2610,29,29,1,81,53,69.1,15,6,8,10,34.5,4,4,0,0,0,Matches,20b9f052
106,Jonas Lössl,dk DEN,GK,Brentford,eng Premier League,32,1989,2,2,180,2,5,2.5,7,2,28.6,0,0,2,0,0,0,0,0,0,,Matches,939bc634
107,Marcel Lotka,pl POL,GK,Hertha BSC,de Bundesliga,20,2001,10,9,885,9.8,20,2.03,44,27,61.4,2,1,6,2,22.2,3,3,0,0,0,Matches,5584552e
108,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,22,1999,2,2,180,2,2,1,7,6,85.7,0,1,1,0,0,2,1,1,0,50,Matches,3061e1ec
109,Andrey Lunyov,ru RUS,GK,Leverkusen,de Bundesliga,29,1991,1,1,90,1,1,1,2,1,50,1,0,0,0,0,0,0,0,0,,Matches,8a6ab963
110,Andreas Luthe,de GER,GK,Union Berlin,de Bundesliga,34,1987,27,27,2430,27,39,1.44,105,70,64.8,11,7,9,6,22.2,2,2,0,0,0,Matches,7fe12375
111,Niki Mäenpää,fi FIN,GK,Venezia,it Serie A,36,1985,17,16,1485,16.5,27,1.64,78,56,71.8,1,4,11,1,6.3,6,5,0,1,0,Matches,14a96e1c
112,Mike Maignan,fr FRA,GK,Milan,it Serie A,26,1995,32,32,2880,32,21,0.66,101,81,81.2,22,7,3,17,53.1,2,2,0,0,0,Matches,fcb38f57
113,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,20,2000,18,18,1620,18,20,1.11,74,56,75.7,5,7,6,8,44.4,2,2,0,0,0,Matches,d4b73232
114,Steve Mandanda,fr FRA,GK,Marseille,fr Ligue 1,36,1985,9,9,810,9,7,0.78,26,19,73.1,6,2,1,5,55.6,0,0,0,0,,Matches,1d2d5cc8
115,Anthony Mandrea,dz ALG,GK,Angers,fr Ligue 1,24,1996,10,10,900,10,14,1.4,45,32,68.9,3,3,4,2,20,0,0,0,0,,Matches,f7d3a773
116,Davide Marfella,it ITA,GK,Napoli,it Serie A,21,1999,1,0,11,0.1,0,0,1,1,100,0,0,0,1,,0,0,0,0,,Matches,880fcdbb
117,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,28,1992,36,36,3240,36,48,1.33,136,93,67.6,13,6,17,11,30.6,6,4,1,1,20,Matches,7956236f
118,Josep Martinez,es ESP,GK,RB Leipzig,de Bundesliga,23,1998,1,1,90,1,3,3,4,1,25,0,0,1,0,0,0,0,0,0,,Matches,11d8aff0
119,Luís Maximiano,pt POR,GK,Granada,es La Liga,22,1999,35,35,3136,34.8,55,1.58,170,121,70.6,8,12,15,7,20,7,5,2,0,28.6,Matches,3318286e
