,Player,Squad,90s,Cmp,Att,Cmp%
753,Anastasios Donis,Reims,4.1,51,93,54.8
754,Gianluigi Donnarumma,Paris S-G,17.0,426,467,91.2
755,Niklas Dorsch,Augsburg,25.8,915,1100,83.2
756,Gabriel Dos Santos,Arsenal,34.0,1796,2002,89.7
757,Jodel Dossou,Clermont Foot,22.3,414,573,72.3
758,Lohann Doucet,Nantes,0.1,6,9,66.7
759,Abdoulaye Doucouré,Everton,28.2,877,1095,80.1
760,Cheick Doucouré,Lens,32.7,1699,1940,87.6
761,Fodé Doucouré,Reims,1.7,57,80,71.3
762,Ismaël Doukouré,Strasbourg,0.2,1,3,33.3
763,Kamory Doumbia,Reims,3.9,138,169,81.7
764,Moussa Doumbia,Reims,1.0,27,36,75.0
765,Souleyman Doumbia,Angers,24.7,915,1102,83.0
766,Kieran Dowell,Norwich City,10.1,235,342,68.7
767,Bartłomiej Drągowski,Fiorentina,6.2,271,344,78.8
768,Radu Drăgușin,Sampdoria,6.9,179,258,69.4
769,Radu Drăgușin,Salernitana,5.4,130,158,82.3
770,Cody Drameh,Leeds United,1.4,60,77,77.9
771,Julian Draxler,Paris S-G,6.1,275,302,91.1
772,Matthieu Dreyer,Lorient,16.0,271,421,64.4
773,Domingos Duarte,Granada,18.7,548,702,78.1
774,Óscar Duarte,Levante,19.7,810,961,84.3
775,Rubén Duarte,Alavés,29.1,914,1346,67.9
776,Leo Dubois,Lyon,19.4,1138,1358,83.8
777,Martin Dúbravka,Newcastle Utd,26.0,535,845,63.3
778,Ondrej Duda,Köln,17.9,506,681,74.3
779,Jeremy Dudziak,Greuther Fürth,12.6,222,329,67.5
780,Shane Duffy,Brighton,16.0,894,1007,88.8
781,Unai Dufur,Osasuna,1.0,37,50,74.0
782,Denzel Dumfries,Inter,22.5,647,864,74.9
783,Paul Dummett,Newcastle Utd,2.2,51,68,75.0
784,Alfred Duncan,Fiorentina,21.5,751,950,79.1
785,Lewis Dunk,Brighton,28.6,1676,1881,89.1
786,Milan Đurić,Salernitana,24.1,427,682,62.6
787,Filip Đuričić,Sassuolo,7.5,184,226,81.4
788,Erik Durm,Eint Frankfurt,5.3,190,274,69.3
789,Hugo Duro,Getafe,0.1,3,4,75.0
790,Hugo Duro,Valencia,20.4,282,391,72.1
791,Jean-Kevin Duverne,Brest,33.4,1351,1791,75.4
792,Paulo Dybala,Juventus,22.9,916,1130,81.1
793,Edin Džeko,Inter,27.4,577,814,70.9
794,Enzo Ebosse,Angers,21.0,916,1080,84.8
795,Tyronne Ebuehi,Venezia,12.6,397,508,78.1
796,Ederson,Manchester City,37.0,976,1089,89.6
797,Éderson,Salernitana,12.7,303,371,81.7
798,Odsonne Édouard,Crystal Palace,17.4,315,435,72.4
799,CJ Egan-Riley,Manchester City,0.0,1,1,100.0
800,Maximilian Eggestein,Freiburg,24.4,707,933,75.8
801,Lilian Egloff,Stuttgart,0.3,6,9,66.7
802,Kingsley Ehizibue,Köln,7.6,255,370,68.9
803,Julian Eitschberger,Hertha BSC,0.5,22,31,71.0
804,Albin Ekdal,Sampdoria,18.2,583,721,80.9
805,Hugo Ekitike,Reims,14.1,288,405,71.1
806,Jurgen Ekkelenkamp,Hertha BSC,8.0,162,240,67.5
807,Caleb Ekuban,Genoa,19.1,302,434,69.6
808,Anthony Elanga,Manchester Utd,13.5,346,441,78.5
809,Alberth Elis,Bordeaux,15.7,200,322,62.1
810,Harvey Elliott,Liverpool,3.8,210,249,84.3
811,Elif Elmas,Napoli,18.0,715,824,86.8
812,Mohamed Elneny,Arsenal,9.0,518,554,93.5
813,Aritz Elustondo,Real Sociedad,23.4,991,1164,85.1
814,Nico Elvedi,M'Gladbach,27.0,1587,1703,93.2
815,Sepe Elye Wahi,Montpellier,19.8,168,252,66.7
816,Mohamed Elyounoussi,Southampton,22.7,451,639,70.6
817,Adri Embarba,Espanyol,22.1,491,794,61.8
818,Breel Embolo,M'Gladbach,24.1,430,587,73.3
819,Emerson,Tottenham,25.4,1179,1442,81.8
820,Emerson,Barcelona,1.0,58,69,84.1
821,Renaud Emond,Nantes,2.1,23,33,69.7
822,Youssef En-Nesyri,Sevilla,14.2,126,183,68.9
823,Keita Endo,Union Berlin,0.6,18,27,66.7
824,Wataru Endo,Stuttgart,32.2,1282,1564,82.0
825,Christian Eriksen,Brentford,10.4,472,634,74.4
826,Martin Erlic,Spezia,28.6,855,1048,81.6
827,Gonzalo Escalante,Lazio,0.1,4,5,80.0
828,Gonzalo Escalante,Alavés,14.4,278,403,69.0
829,Aarón Escandell,Granada,3.2,72,125,57.6
830,Sergio Escudero,Granada,15.9,524,721,72.7
831,Alfonso Espino,Cádiz,37.0,1124,1778,63.2
832,Michael Esser,Bochum,3.0,80,134,59.7
833,Estanis,Barcelona,0.1,0,1,0.0
834,Maxime Estève,Montpellier,20.6,700,814,86.0
835,Pervis Estupiñán,Villarreal,17.5,836,1057,79.1
836,Oghenekaro Etebo,Watford,4.5,141,157,89.8
837,Jonny Evans,Leicester City,15.0,812,976,83.2
838,Eberechi Eze,Crystal Palace,6.7,235,304,77.3
839,Abdessamad Ezzalzouli,Barcelona,6.4,138,189,73.0
840,Łukasz Fabiański,West Ham,37.0,636,1006,63.2
841,Fabinho,Liverpool,25.7,1341,1522,88.1
842,Fábio,Nantes,18.5,630,853,73.9
843,Cesc Fàbregas,Monaco,0.4,42,53,79.2
844,Wout Faes,Reims,37.0,1256,1432,87.7
845,Wahidullah Faghir,Stuttgart,1.4,21,33,63.6
846,Romain Faivre,Brest,19.9,667,860,77.6
847,Romain Faivre,Lyon,9.9,489,596,82.0
848,Radamel Falcao,Rayo Vallecano,9.3,133,174,76.4
849,Diego Falcinelli,Bologna,0.7,13,21,61.9
850,Wladimiro Falcone,Sampdoria,9.5,250,358,69.8
851,Fali,Cádiz,20.0,523,674,77.6
852,Paolo Faragò,Cagliari,0.2,7,8,87.5
853,Omar Faraj,Levante,0.0,0,2,0.0
854,Davide Faraoni,Hellas Verona,28.6,959,1369,70.1
855,Mohamed Fares,Genoa,6.5,178,258,69.0
856,Diego Farias,Cagliari,0.7,29,35,82.9
857,Wuilker Faríñez,Lens,12.3,239,303,78.9
858,Ömer Faruk Beyaz,Stuttgart,0.8,29,39,74.4
859,Noah Fatar,Angers,0.1,4,7,57.1
860,Ansu Fati,Barcelona,3.7,136,164,82.9
861,Julien Faussurier,Brest,5.4,199,266,74.8
862,Andrea Favilli,Genoa,0.4,5,6,83.3
863,Federico Fazio,Salernitana,15.9,518,625,82.9
864,Aleix Febas,Mallorca,1.3,50,56,89.3
865,Adrian Fein,Greuther Fürth,0.4,6,9,66.7
866,Nabil Fekir,Betis,31.0,1216,1507,80.7
867,Felipe,Atlético Madrid,16.7,659,793,83.1
868,Luiz Felipe,Lazio,27.7,1673,1818,92.0
869,João Félix,Atlético Madrid,14.0,342,460,74.3
870,Ohis Felix Uduokhai,Augsburg,8.7,331,414,80.0
871,Kiko Femenía,Watford,23.8,856,1196,71.6
872,Evan Ferguson,Brighton,0.3,6,7,85.7
873,Nathan Ferguson,Crystal Palace,0.1,3,5,60.0
874,Bruno Fernandes,Manchester Utd,34.6,1524,2024,75.3
875,Edimilson Fernandes,Arminia,3.1,93,124,75.0
876,Aitor Fernández,Levante,13.0,267,381,70.1
877,Álex Fernández,Cádiz,22.8,816,1023,79.8
878,Álvaro Fernández,Brentford,12.0,322,500,64.4
879,Federico Fernández,Newcastle Utd,5.8,183,214,85.5
880,Fernandinho,Manchester City,10.7,730,806,90.6
881,Fernando,Sevilla,20.6,1121,1248,89.8
882,Alex Ferrari,Sampdoria,18.3,688,813,84.6
883,Salvador Ferrer,Spezia,16.6,588,754,78.0
884,Jordan Ferri,Montpellier,32.3,2100,2502,83.9
885,Riccardo Fiamozzi,Empoli,6.9,292,388,75.3
886,Fidel,Elche,25.1,813,1095,74.2
887,Karol Fila,Strasbourg,6.2,298,383,77.8
888,Alfreð Finnbogason,Augsburg,3.2,43,71,60.6
889,Luca Fiordilino,Venezia,7.3,251,295,85.1
890,Vincenzo Fiorillo,Salernitana,1.0,23,31,74.2
891,Roberto Firmino,Liverpool,11.0,393,501,78.4
892,Junior Firpo,Leeds United,19.0,775,931,83.2
893,Mark Flekken,Freiburg,32.0,912,1335,68.3
894,Ashley Fletcher,Watford,0.3,3,9,33.3
895,Alexis Flips,Reims,11.7,309,500,61.8
896,Alessandro Florenzi,Milan,12.8,650,805,80.7
897,Phil Foden,Manchester City,23.6,884,1096,80.7
898,Mamadou Fofana,Metz,0.4,3,4,75.0
899,Seko Fofana,Lens,37.3,1596,1819,87.7
900,Wesley Fofana,Leicester City,7.0,452,504,89.7
901,Youssouf Fofana,Monaco,24.3,920,1198,76.8
902,Thomas Foket,Reims,24.8,861,1096,78.6
903,Thomas Fontaine,Lorient,1.9,45,53,84.9
904,José Fontán,Celta Vigo,3.1,172,204,84.3
905,José Fonte,Lille,38.0,1815,2090,86.8
906,Fernando Forestieri,Udinese,0.6,16,23,69.6
907,Pablo Fornals,West Ham,31.1,1036,1381,75.0
908,Emil Forsberg,RB Leipzig,19.0,637,773,82.4
909,Adam Forshaw,Leeds United,17.0,679,811,83.7
910,Marcus Forss,Brentford,2.3,24,41,58.5
911,Fraser Forster,Southampton,19.0,347,596,58.2
912,Philipp Förster,Stuttgart,10.7,373,429,86.9
913,Francesco Forte,Venezia,4.7,55,77,71.4
914,Steven Fortes,Lens,1.0,25,29,86.2
915,Ben Foster,Watford,26.0,417,869,48.0
916,Tariqe Fosu,Brentford,0.2,6,8,75.0
917,Timothy Fosu-Mensah,Leverkusen,1.6,72,92,78.3
918,Dimitri Foulquier,Valencia,26.0,705,1007,70.0
919,Dimitri Foulquier,Granada,2.0,52,76,68.4
920,Juan Foyth,Villarreal,21.4,1000,1180,84.7
921,Gianluca Frabotta,Hellas Verona,0.2,4,9,44.4
922,Raphael Framberger,Augsburg,9.4,295,446,66.1
923,Przemysław Frankowski,Lens,27.2,1179,1442,81.8
924,Enric Franquesa,Levante,6.9,210,274,76.6
925,Fransérgio,Bordeaux,14.0,386,538,71.7
926,Ryan Fraser,Newcastle Utd,16.3,333,478,69.7
927,Davide Frattesi,Sassuolo,31.7,1059,1265,83.7
928,Fred,Manchester Utd,22.5,1123,1320,85.1
929,Ryan Fredericks,West Ham,3.4,114,147,77.6
930,Morten Frendrup,Genoa,7.7,251,357,70.3
931,Remo Freuler,Atalanta,26.3,1450,1689,85.8
932,Marvin Friedrich,M'Gladbach,6.7,419,471,89.0
933,Marvin Friedrich,Union Berlin,13.0,471,623,75.6
934,Jeremie Frimpong,Leverkusen,22.8,986,1209,81.6
935,Christian Früchtl,Bayern Munich,0.1,3,3,100.0
936,Jorge de Frutos,Levante,19.6,345,509,67.8
937,Leo Fuhr Hjelde,Leeds United,1.7,84,111,75.7
938,Chris Führich,Stuttgart,19.0,554,698,79.4
939,Angelo Fulgini,Angers,32.5,1145,1401,81.7
940,Marius Funk,Greuther Fürth,8.0,226,362,62.4
941,Stephan Fürstner,Mainz 05,0.1,1,5,20.0
942,Matteo Gabbia,Milan,6.0,368,418,88.0
943,Manolo Gabbiadini,Sampdoria,12.7,225,340,66.2
944,Mijat Gaćinović,Hoffenheim,1.2,39,46,84.8
945,Gianluca Gaetano,Napoli,0.2,9,11,81.8
946,Luca Gagliano,Cagliari,0.1,4,5,80.0
947,Roberto Gagliardini,Inter,7.2,297,349,85.1
948,Riccardo Gagliolo,Salernitana,12.6,384,491,78.2
949,Javi Galán,Celta Vigo,36.6,1718,2191,78.4
950,Iñigo Ruiz de Galarreta,Mallorca,15.3,612,759,80.6
951,Nicolas Galazzi,Venezia,0.2,5,8,62.5
952,Pablo Galdames Millán,Genoa,11.4,327,448,73.0
953,Thiago Galhardo,Celta Vigo,12.8,190,279,68.1
954,Conor Gallagher,Crystal Palace,31.6,890,1167,76.3
955,Gauthier Gallon,Troyes,31.0,745,1061,70.2
956,Cristian Gamboa,Bochum,19.1,692,959,72.2
957,Kévin Gameiro,Strasbourg,26.5,639,800,79.9
958,Idrissa Gana Gueye,Paris S-G,18.2,1296,1388,93.4
959,Ignatius Ganago,Lens,11.4,149,205,72.7
960,Silvère Ganvoula M'Boussy,Bochum,1.7,34,60,56.7
961,Álvaro García,Rayo Vallecano,33.3,645,1035,62.3
962,Dani García,Athletic Club,24.2,803,1041,77.1
963,David García,Osasuna,34.5,1177,1422,82.8
964,Eric García,Barcelona,22.7,1550,1666,93.0
965,Francisco Garcia,Rayo Vallecano,33.6,1333,1694,78.7
966,Joan García,Espanyol,1.2,25,33,75.8
967,Manu García,Alavés,12.0,443,582,76.1
968,Raúl García,Athletic Club,20.0,373,594,62.8
969,Rubén García,Osasuna,26.4,891,1247,71.5
970,Saúl García,Alavés,0.0,1,3,33.3
971,Unai García,Osasuna,15.6,415,554,74.9
972,Alejandro Garnacho,Manchester Utd,0.1,3,3,100.0
973,Mario Gaspar,Villarreal,6.9,298,368,81.0
974,Djeidi Gassama,Paris S-G,0.0,2,2,100.0
975,Johan Gastien,Clermont Foot,30.5,2150,2603,82.6
976,Gavi,Barcelona,25.7,1115,1270,87.8
977,Dwight Gayle,Newcastle Utd,0.4,11,13,84.6
978,Jean-Philippe Gbamin,Everton,0.7,16,21,76.2
979,David de Gea,Manchester Utd,38.0,646,911,70.9
980,Linus Gechter,Hertha BSC,8.0,302,379,79.7
981,Dennis Geiger,Hoffenheim,15.3,649,784,82.8
982,Joe Gelhardt,Leeds United,8.3,105,156,67.3
983,Luca Gemello,Torino,1.0,15,34,44.1
984,Yannick Gerhardt,Wolfsburg,17.5,616,816,75.5
985,Valère Germain,Montpellier,21.9,361,473,76.3
986,Gerson,Marseille,28.3,1182,1312,90.1
987,Willem Geubbels,Nantes,6.0,100,142,70.4
988,Hamadi Al Ghaddioui,Stuttgart,5.5,73,109,67.0
989,Ismaël Gharbi,Paris S-G,0.0,4,4,100.0
990,Anwar El Ghazi,Aston Villa,4.3,82,115,71.3
991,Anwar El Ghazi,Everton,0.1,8,9,88.9
992,Lamine Ghezali,Saint-Étienne,0.0,4,6,66.7
993,Paolo Ghiglione,Genoa,6.7,215,339,63.4
994,Saman Ghoddos,Brentford,6.0,149,221,67.4
995,Faouzi Ghoulam,Napoli,3.7,235,282,83.3
996,Dimitris Giannoulis,Norwich City,13.0,519,705,73.6
997,Morgan Gibbs-White,Wolves,0.1,7,10,70.0
998,Ben Gibson,Norwich City,27.7,1065,1304,81.7
999,Niko Gießelmann,Union Berlin,23.1,789,1135,69.5
1000,Rafał Gikiewicz,Augsburg,34.0,817,1240,65.9
1001,Óscar Gil,Espanyol,18.8,626,740,84.6
1002,Mario Gila,Real Madrid,0.3,20,22,90.9
1003,Billy Gilmour,Norwich City,20.6,958,1200,79.8
1004,Daniel Ginczek,Wolfsburg,0.1,1,4,25.0
1005,Matthias Ginter,M'Gladbach,26.2,1475,1752,84.2
1006,Nicholas Gioacchini,Montpellier,5.5,99,144,68.8
1007,Sebastian Giovinco,Sampdoria,0.4,6,10,60.0
1008,Jimmy Giraudon,Troyes,18.0,745,858,86.8
1009,Andrei Girotto,Nantes,35.0,1398,1697,82.4
1010,Olivier Giroud,Milan,21.0,337,486,69.3
1011,Serge Gnabry,Bayern Munich,24.3,1070,1354,79.0
1012,Ben Godfrey,Everton,22.5,605,788,76.8
1013,Diego Godín,Cagliari,9.1,393,434,90.6
1014,Edoardo Goldaniga,Sassuolo,0.0,1,1,100.0
1015,Edoardo Goldaniga,Cagliari,10.4,350,482,72.6
1016,Aleksandr Golovin,Monaco,16.7,573,773,74.1
1017,André Gomes,Everton,6.9,213,279,76.3
1018,Angel Gomes,Lille,10.6,307,393,78.1
1019,Toti Gomes,Wolves,4.0,142,191,74.3
1020,Dani Gómez,Levante,11.8,165,207,79.7
1021,Joe Gomez,Liverpool,3.7,228,286,79.7
1022,Maxi Gómez,Valencia,21.7,265,415,63.9
1023,Moi Gómez,Villarreal,14.3,482,595,81.0
1024,Papu Gómez,Sevilla,19.8,839,975,86.1
1025,Sergi Gómez,Espanyol,30.2,1148,1327,86.5
1026,Alfred Gomis,Rennes,25.0,595,781,76.2
1027,Maxime Gonalons,Granada,17.2,544,648,84.0
1028,Vagner Gonçalves,Metz,1.0,25,38,65.8
1029,Cedric Gondo,Salernitana,7.8,130,174,74.7
1030,Álvaro González,Marseille,5.0,357,372,96.0
1031,Diego González,Elche,19.9,591,704,83.9
1032,Édgar González,Betis,16.3,797,883,90.3
1033,Giovanni González,Mallorca,4.1,152,204,74.5
1034,Nicolás González,Barcelona,12.4,620,687,90.2
1035,Nicolás González,Fiorentina,26.2,704,940,74.9
1036,Peter González,Real Madrid,0.3,16,19,84.2
1037,Roberto González,Betis,1.5,30,39,76.9
1038,Charlie Goode,Brentford,5.0,190,300,63.3
1039,Anthony Gordon,Everton,25.4,503,754,66.7
1040,Kaide Gordon,Liverpool,0.1,4,4,100.0
1041,Leon Goretzka,Bayern Munich,15.5,742,892,83.2
1042,Gori,Espanyol,0.1,4,5,80.0
1043,Andoni Gorosabel,Real Sociedad,25.4,1224,1465,83.5
1044,Robin Gosens,Inter,1.9,90,112,80.4
1045,Robin Gosens,Atalanta,5.1,214,260,82.3
1046,Dan Gosling,Watford,1.8,57,67,85.1
1047,Amine Gouiri,Nice,30.6,816,1049,77.8
1048,Lucas Gourna-Douath,Saint-Étienne,20.0,764,862,88.6
1049,Jeffrey Gouweleeuw,Augsburg,28.6,868,1182,73.4
1050,Jonathan Gradit,Lens,34.1,1865,2077,89.8
1051,Jens Grahl,Eint Frankfurt,1.0,25,30,83.3
1052,Alberto Grassi,Cagliari,24.2,864,1052,82.1
1053,Jaume Grau,Osasuna,0.0,2,4,50.0
1054,Andrew Gravillon,Reims,23.7,723,944,76.6
1055,Demarai Gray,Everton,26.0,544,757,71.9
1056,Adrian Grbić,Lorient,5.8,70,111,63.1
1057,Ivo Grbić,Lille,21.0,393,583,67.4
1058,Jack Grealish,Manchester City,21.3,830,960,86.5
1059,Etienne Green,Saint-Étienne,13.3,286,404,70.8
1060,Julian Green,Greuther Fürth,11.7,325,430,75.6
1061,Mason Greenwood,Manchester Utd,14.1,397,504,78.8
1062,Sam Greenwood,Leeds United,2.6,60,85,70.6
1063,Michael Gregoritsch,Augsburg,15.5,255,419,60.9
1064,Dominik Greif,Mallorca,1.0,20,31,64.5
1065,Clément Grenier,Mallorca,0.7,30,40,75.0
1066,Sebastian Griesbeck,Union Berlin,0.1,1,1,100.0
1067,Sebastian Griesbeck,Greuther Fürth,27.1,697,878,79.4
1068,Antoine Griezmann,Atlético Madrid,18.8,560,710,78.9
1069,Antoine Griezmann,Barcelona,2.9,85,99,85.9
1070,Vincenzo Grifo,Freiburg,30.8,1042,1410,73.9
1071,Lennart Grill,Leverkusen,1.0,31,45,68.9
1072,Florian Grillitsch,Hoffenheim,16.6,920,1024,89.8
1073,Arnaut Groeneveld,Villarreal,16.4,287,384,74.7
1074,Pascal Groß,Brighton,22.6,979,1310,74.7
1075,Carlos Gruezo,Augsburg,10.8,252,312,80.8
1076,Vicente Guaita,Crystal Palace,29.5,763,972,78.5
1077,Andrés Guardado,Betis,15.5,782,934,83.7
1078,Sergi Guardiola,Rayo Vallecano,19.0,303,436,69.5
1079,Nemanja Gudelj,Sevilla,11.6,601,669,89.8
1080,Albert Guðmundsson,Genoa,6.7,146,222,65.8
1081,Gabriel Gudmundsson,Lille,14.9,521,711,73.3
1082,Noah Guede-Nadje,Angers,0.0,0,0,
1083,Gonçalo Guedes,Valencia,29.0,582,884,65.8
1084,Marc Guéhi,Crystal Palace,35.8,1991,2276,87.5
1085,Mattéo Guendouzi,Marseille,35.0,1901,2175,87.4
1086,Yanis Guermouche,Montpellier,0.1,3,3,100.0
1087,Raphaël Guerreiro,Dortmund,19.9,1302,1524,85.4
1088,Evann Guessand,Nice,4.9,57,76,75.0
1089,Ander Guevara,Real Sociedad,9.6,531,604,87.9
1090,Lamine Gueye,Metz,6.2,148,217,68.2
1091,Pape Gueye,Marseille,17.0,865,968,89.4
1092,John Guidetti,Alavés,3.1,53,72,73.6
1093,Josuha Guilavogui,Bordeaux,14.8,671,820,81.8
1094,Josuha Guilavogui,Wolfsburg,10.5,438,527,83.1
1095,Frederic Guilbert,Strasbourg,28.0,1054,1531,68.8
1096,Hugo Guillamón,Valencia,26.2,897,1089,82.4
1097,Bruno Guimarães,Lyon,18.2,1178,1352,87.1
1098,Bruno Guimarães,Newcastle Utd,11.5,441,511,86.3
1099,Sehrou Guirassy,Rennes,11.3,243,302,80.5
1100,Péter Gulácsi,RB Leipzig,33.0,944,1172,80.5
1101,Manuel Gulde,Freiburg,13.6,480,576,83.3
1102,Gerard Gumbau,Elche,21.0,852,1073,79.4
1103,Robert Gumny,Augsburg,25.2,724,960,75.4
1104,İlkay Gündoğan,Manchester City,20.6,1161,1326,87.6
1105,Angus Gunn,Norwich City,9.0,197,298,66.1
1106,Christian Günter,Freiburg,34.0,1164,1660,70.1
1107,Koray Günter,Hellas Verona,26.8,1027,1228,83.6
1108,Lasse Günther,Augsburg,1.8,53,71,74.6
1109,Jon Guridi,Real Sociedad,2.3,59,80,73.8
1110,Malo Gusto,Lyon,20.9,1301,1495,87.0
1111,Raúl Guti,Elche,18.1,661,788,83.9
1112,Marcos Mauro López Gutiérrez,Cádiz,1.5,10,21,47.6
1113,Miguel Gutiérrez,Real Madrid,2.9,168,187,89.8
1114,Joško Gvardiol,RB Leipzig,26.8,1758,2100,83.7
1115,Emmanuel Gyasi,Spezia,33.7,775,942,82.3
1116,Norbert Gyömbér,Salernitana,28.5,827,1061,77.9
1117,Erling Haaland,Dortmund,21.2,339,473,71.7
1118,Nicolas Haas,Empoli,11.1,374,477,78.4
1119,Janik Haberer,Freiburg,9.1,246,320,76.9
1120,Alexander Hack,Mainz 05,23.0,891,1123,79.3
1121,Robin Hack,Arminia,15.2,357,493,72.4
1122,Munir El Haddadi,Sevilla,5.3,106,137,77.4
1123,André Hahn,Augsburg,23.3,250,434,57.6
1124,Amadou Haidara,RB Leipzig,14.7,663,797,83.2
1125,Massadio Haïdara,Lens,12.0,552,656,84.1
1126,Oualid El Hajjam,Troyes,11.9,464,586,79.2
1127,Achraf Hakimi,Paris S-G,27.5,1638,1834,89.3
1128,Marcel Halstenberg,RB Leipzig,5.6,364,414,87.9
1129,Pierre-Yves Hamel,Clermont Foot,5.8,80,106,75.5
1130,Pierre-Yves Hamel,Lorient,0.3,3,7,42.9
1131,Romain Hamouma,Saint-Étienne,9.8,224,319,70.2
1132,Samir Handanović,Inter,37.0,1068,1259,84.8
1133,Grant Hanley,Norwich City,32.2,1053,1242,84.8
1134,Ridgeciano Haps,Venezia,22.8,660,871,75.8
1135,Genki Haraguchi,Union Berlin,19.5,410,558,73.5
1136,Amine Harit,Marseille,12.9,610,697,87.5
1137,Varazdat Haroyan,Cádiz,16.0,338,414,81.6
1138,Jack Harrison,Leeds United,29.3,666,1020,65.3
1139,Abdou Harroui,Sassuolo,5.0,257,297,86.5
1140,Luis Hartwig,Bochum,0.0,0,1,0.0
1141,Makoto Hasebe,Eint Frankfurt,13.2,813,937,86.8
1142,Hans Hateboer,Atalanta,15.4,717,864,83.0
1143,Kortney Hause,Aston Villa,4.4,162,206,78.6
1144,Kai Havertz,Chelsea,20.1,546,669,81.6
1145,Isaac Hayden,Newcastle Utd,11.1,255,319,79.9
1146,Eden Hazard,Real Madrid,8.0,366,411,89.1
1147,Thorgan Hazard,Dortmund,14.9,630,830,75.9
1148,Jonas Hector,Köln,28.4,1246,1644,75.8
1149,Hwang Hee-chan,RB Leipzig,0.5,6,8,75.0
1150,Hwang Hee-chan,Wolves,20.2,509,626,81.3
1151,Silvan Hefti,Genoa,14.3,408,556,73.4
1152,Dominique Heintz,Union Berlin,5.2,211,258,81.8
1153,Dominique Heintz,Freiburg,0.3,19,21,90.5
1154,Jordan Henderson,Liverpool,28.9,1846,2202,83.8
1155,Liam Henderson,Empoli,22.4,601,851,70.6
1156,Jeff Hendrick,Newcastle Utd,0.8,24,27,88.9
1157,Wayne Hennessey,Burnley,2.0,40,80,50.0
1158,Benjamin Henrichs,RB Leipzig,12.7,592,738,80.2
1159,Henrique,Lyon,12.3,702,810,86.7
1160,Dalbert Henrique,Cagliari,23.1,604,847,71.3
1161,Luis Henrique,Marseille,7.8,166,210,79.0
1162,Matheus Henrique,Sassuolo,12.0,557,614,90.7
1163,Rico Henry,Brentford,30.8,868,1202,72.2
1164,Thomas Henry,Venezia,23.5,281,455,61.8
1165,Christophe Hérelle,Brest,21.5,719,816,88.1
1166,Jérôme Hergault,Lorient,3.9,165,220,75.0
1167,Kike Hermoso,Betis,1.0,47,51,92.2
1168,Mario Hermoso,Atlético Madrid,20.7,1125,1309,85.9
1169,Aridane Hernández,Osasuna,12.9,434,534,81.3
1170,Lucas Hernández,Bayern Munich,22.6,1773,1965,90.2
1171,Luis Hernández,Cádiz,15.2,622,781,79.6
1172,Mario Hernández,Rayo Vallecano,4.4,141,206,68.4
1173,Theo Hernández,Milan,30.1,1420,1748,81.2
1174,Hernani,Genoa,7.6,178,247,72.1
1175,Ander Herrera,Paris S-G,12.1,968,1053,91.9
1176,Héctor Herrera,Atlético Madrid,9.5,555,650,85.4
1177,Sergio Herrera,Osasuna,36.0,657,1147,57.3
1178,Yangel Herrera,Espanyol,18.3,717,858,83.6
1179,Patrick Herrmann,M'Gladbach,8.4,263,372,70.7
1180,Son Heung-min,Tottenham,33.4,933,1223,76.3
1181,Daan Heymans,Venezia,2.8,79,97,81.4
1182,Aaron Hickey,Bologna,31.3,1067,1305,81.8
1183,Piero Hincapié,Leverkusen,19.5,999,1206,82.8
1184,Martin Hinteregger,Eint Frankfurt,24.7,1065,1330,80.1
1185,Marwin Hitz,Dortmund,4.5,155,177,87.6
1186,Ki-Jana Hoever,Wolves,3.4,113,159,71.1
1187,Nicolas Höfler,Freiburg,28.9,1016,1209,84.0
1188,Jonas Hofmann,M'Gladbach,23.1,998,1274,78.3
1189,Pierre Højbjerg,Tottenham,35.5,2221,2484,89.4
1190,Rob Holding,Arsenal,9.4,418,474,88.2
1191,Lucas Höler,Freiburg,28.7,628,904,69.5
1192,Mason Holgate,Everton,23.7,564,803,70.2
1193,Gerrit Holtmann,Bochum,20.4,247,365,67.7
1194,Martin Hongla,Hellas Verona,7.2,234,304,77.0
1195,Franck Honorat,Brest,32.2,841,1224,68.7
1196,Justin Hoogma,Greuther Fürth,3.0,143,171,83.6
1197,Sydney van Hooijdonk,Bologna,0.4,16,17,94.1
1198,Matthew Hoppe,Mallorca,1.5,26,36,72.2
1199,Jannes Horn,Köln,5.3,222,306,72.5
1200,Timo Horn,Köln,13.0,419,520,80.6
1201,Fraser Hornby,Reims,3.9,54,88,61.4
1202,Cédric Hountondji,Clermont Foot,22.6,854,989,86.3
1203,Lukáš Hrádecký,Leverkusen,32.0,963,1261,76.4
1204,Branimir Hrgota,Greuther Fürth,30.9,536,747,71.8
1205,Petko Hristov,Spezia,13.9,504,604,83.4
1206,Ajdin Hrustic,Eint Frankfurt,10.7,486,599,81.1
1207,Timo Hübers,Köln,19.3,1040,1215,85.6
1208,Benjamin Hübner,Hoffenheim,4.2,215,262,82.1
1209,Callum Hudson-Odoi,Chelsea,10.7,313,393,79.6
1210,Will Hughes,Crystal Palace,11.7,428,523,81.8
1211,Mats Hummels,Dortmund,19.6,1333,1517,87.9
1212,Elseid Hysaj,Lazio,22.5,1232,1415,87.1
1213,Suk Hyun-jun,Troyes,1.7,32,41,78.0
1214,Iago,Augsburg,24.2,813,1191,68.3
1215,Robert Ibáñez,Osasuna,1.0,34,41,82.9
1216,Roger Ibanez,Roma,32.1,1679,1921,87.4
