,Player,Squad,90s,Cmp,Att,Cmp%
91,Sebastian Andersson,Köln,14.0,168,253,66.4
92,Florin Andone,Cádiz,2.0,28,40,70.0
93,Andrés Andrade Cedeño,Arminia,11.6,353,517,68.3
94,Benjamin André,Lille,30.6,1429,1770,80.7
95,Fredrik André Bjørkan,Hertha BSC,3.9,131,164,79.9
96,Robert Andrich,Leverkusen,20.2,832,1011,82.3
97,José Ángel,Osasuna,12.0,599,788,76.0
98,Angeliño,RB Leipzig,25.5,1094,1508,72.5
99,Ebenezer Annan,Bologna,0.3,4,11,36.4
100,Cristian Ansaldi,Torino,7.7,293,413,70.9
101,Janis Antiste,Spezia,8.8,139,212,65.6
102,Waldemar Anton,Stuttgart,28.8,1541,1801,85.6
103,Josep Antoni Gayá,Mallorca,0.6,20,25,80.0
104,Michail Antonio,West Ham,33.0,466,708,65.8
105,Christopher Antwi-Adjei,Bochum,12.6,164,262,62.6
106,Houssem Aouar,Lyon,27.8,1274,1460,87.3
107,Adil Aouchiche,Saint-Étienne,12.0,480,631,76.1
108,Dennis Appiah,Nantes,23.3,776,995,78.0
109,Mauro Arambarri,Getafe,29.6,947,1262,75.0
110,Mattia Aramu,Venezia,23.3,529,804,65.8
111,Charles Aránguiz,Leverkusen,17.5,911,1087,83.8
112,Néstor Araujo,Celta Vigo,29.1,1330,1520,87.5
113,Ronald Araújo,Barcelona,25.2,1485,1643,90.4
114,Cameron Archer,Aston Villa,0.3,5,5,100.0
115,Alphonse Areola,West Ham,1.0,20,41,48.8
116,Jesús Areso,Osasuna,2.1,49,74,66.2
117,Matias Arezo,Granada,1.8,23,39,59.0
118,Santiago Arias,Granada,4.9,164,223,73.5
119,Adam Armstrong,Southampton,15.7,223,315,70.8
120,Stuart Armstrong,Southampton,16.4,583,734,79.4
121,Marko Arnautović,Bologna,29.9,683,927,73.7
122,Maximilian Arnold,Wolfsburg,33.3,1445,1848,78.2
123,Kepa Arrizabalaga,Chelsea,4.0,115,139,82.7
124,Tolgay Arslan,Udinese,18.4,547,681,80.3
125,Arthur,Fiorentina,8.3,114,144,79.2
126,Santiago Arzamendia,Cádiz,5.2,109,170,64.1
127,Takuma Asano,Bochum,17.9,263,378,69.6
128,Santiago Ascacíbar,Hertha BSC,26.4,978,1182,82.7
129,Sergio Asenjo,Villarreal,6.0,183,222,82.4
130,Alejandro Asensio,Rayo Vallecano,0.1,7,8,87.5
131,Marco Asensio,Real Madrid,19.2,740,904,81.9
132,Harrison Ashby,West Ham,0.1,7,8,87.5
133,Kristoffer Askildsen,Sampdoria,8.4,156,228,68.4
134,Fisnik Asllani,Hoffenheim,0.1,6,8,75.0
135,Kristjan Asllani,Empoli,15.0,617,746,82.7
136,Iago Aspas,Celta Vigo,34.3,976,1357,71.9
137,Lorenz Assignon,Rennes,6.8,311,387,80.4
138,Simon Asta,Greuther Fürth,8.7,287,401,71.6
139,Youcef Atal,Nice,12.7,559,729,76.7
140,Pierre-Emerick Aubameyang,Arsenal,11.5,145,205,70.7
141,Pierre-Emerick Aubameyang,Barcelona,12.0,184,244,75.4
142,Emil Audero,Sampdoria,28.4,693,999,69.4
143,Tommaso Augello,Sampdoria,26.6,1062,1384,76.7
144,Jean-Kévin Augustin,Nantes,0.9,15,18,83.3
145,Ludwig Augustinsson,Sevilla,8.8,452,560,80.7
146,Serge Aurier,Villarreal,11.2,627,734,85.4
147,Ezequiel Ávila,Osasuna,20.8,307,545,56.3
148,Taiwo Awoniyi,Union Berlin,24.2,334,484,69.0
149,Ramzi Aya,Salernitana,1.5,18,28,64.3
150,Jordan Ayew,Crystal Palace,22.4,570,745,76.5
151,Kaan Ayhan,Sassuolo,15.0,788,869,90.7
152,Luke Ayling,Leeds United,25.2,1218,1558,78.2
153,Karim Azamoum,Troyes,4.3,108,145,74.5
154,Sardar Azmoun,Leverkusen,4.0,80,112,71.4
155,César Azpilicueta,Chelsea,23.0,1442,1713,84.2
156,Iddrisu Baba,Mallorca,21.5,623,775,80.4
157,Carlos Bacca,Granada,5.7,71,109,65.1
158,Daniel Bachmann,Watford,12.0,211,357,59.1
159,Loïc Bade,Rennes,10.9,652,708,92.1
160,Milan Badelj,Genoa,31.6,1262,1601,78.8
161,Édgar Badía,Elche,24.0,560,829,67.6
162,Benoît Badiashile,Monaco,20.4,1205,1347,89.5
163,Youssouph Badji,Brest,1.5,26,38,68.4
164,Miguel Baeza,Celta Vigo,0.0,4,5,80.0
165,Nicola Bagnolini,Bologna,0.0,0,4,0.0
166,Issa Bah,Venezia,0.1,5,6,83.3
167,Stéphane Bahoken,Angers,12.2,168,220,76.4
168,Leon Bailey,Aston Villa,8.5,149,224,66.5
169,Eric Bailly,Manchester Utd,2.4,64,80,80.0
170,Dénys Bain,Brest,2.0,79,82,96.3
171,Stefan Bajic,Saint-Étienne,5.7,130,185,70.3
172,Nedim Bajrami,Empoli,22.8,628,884,71.0
173,Cédric Bakambu,Marseille,4.0,52,69,75.4
174,Abdoulaye Bakayoko,Saint-Étienne,3.4,93,131,71.0
175,Tiemoué Bakayoko,Milan,5.6,276,312,88.5
176,Mitchel Bakker,Leverkusen,20.2,1011,1222,82.7
177,Ridle Baku,Wolfsburg,27.2,1019,1328,76.7
178,Dilane Bakwa,Bordeaux,0.5,9,14,64.3
179,Tommaso Baldanzi,Empoli,0.2,5,7,71.4
180,Alejandro Balde,Barcelona,2.1,140,152,92.1
181,Ibrahima Baldé,Lens,0.6,8,11,72.7
182,Keita Baldé,Cagliari,13.7,199,269,74.0
183,Gareth Bale,Real Madrid,3.1,48,64,75.0
184,Mikel Balenziaga,Athletic Club,22.5,766,1004,76.3
185,Leonardo Balerdi,Marseille,10.6,747,809,92.3
186,Iván Balliu,Rayo Vallecano,35.0,1373,1796,76.4
187,Fodé Ballo-Touré,Milan,5.0,231,273,84.6
188,Folarin Balogun,Arsenal,0.8,4,8,50.0
189,Abdoulaye Bamba,Angers,5.1,148,187,79.1
190,Jonathan Bamba,Lille,27.0,868,1149,75.5
191,Patrick Bamford,Leeds United,6.2,85,103,82.5
192,Filippo Bandinelli,Empoli,21.7,572,756,75.7
193,Mattia Bani,Genoa,13.5,337,459,73.4
194,Simon Banza,Lens,1.4,20,29,69.0
195,Shandon Baptiste,Brentford,10.1,255,306,83.3
196,Antonín Barák,Hellas Verona,26.0,890,1109,80.3
197,Barbero,Osasuna,0.2,6,13,46.2
198,Danilo Barbosa,Nice,1.0,33,41,80.5
199,Barcia,Granada,0.8,8,22,36.4
200,Bradley Barcola,Lyon,2.9,62,87,71.3
201,Melvin Bard,Nice,28.8,1519,1866,81.4
202,Enis Bardhi,Levante,18.9,531,750,70.8
203,Francesco Bardi,Bologna,2.0,34,50,68.0
204,Keidi Bare,Espanyol,16.5,750,872,86.0
205,Nicolò Barella,Inter,32.4,1544,1848,83.5
206,Kike Barja,Osasuna,9.6,263,382,68.8
207,Ross Barkley,Chelsea,2.0,105,127,82.7
208,Aymen Barkok,Eint Frankfurt,1.8,52,71,73.2
209,Ashley Barnes,Burnley,9.0,130,199,65.3
210,Harvey Barnes,Leicester City,23.3,557,751,74.2
211,Antonio Barragán,Elche,11.3,426,537,79.3
212,Leandro Barreiro Martins,Mainz 05,19.9,399,546,73.1
213,Ander Barrenetxea,Real Sociedad,6.1,136,187,72.7
214,Jacob Barrett Laursen,Arminia,18.1,563,790,71.3
215,Musa Barrow,Bologna,23.7,714,939,76.0
216,Abdourahmane Barry,Greuther Fürth,2.3,88,115,76.5
217,Marc Bartra,Betis,22.1,919,1108,82.9
218,Daniele Baselli,Cagliari,3.2,111,150,74.0
219,Daniele Baselli,Torino,1.7,64,87,73.6
220,Toma Bašić,Bordeaux,2.3,74,101,73.3
221,Toma Bašić,Lazio,10.9,383,453,84.5
222,Amine Bassi,Metz,2.0,86,119,72.3
223,Álvaro Bastida,Cádiz,2.2,42,53,79.2
224,Alessandro Bastoni,Inter,25.7,1601,1798,89.0
225,Simone Bastoni,Spezia,25.4,888,1210,73.4
226,Lewis Bate,Leeds United,1.6,41,54,75.9
227,Rodrigo Battaglia,Mallorca,13.1,435,526,82.7
228,Maximilian Bauer,Greuther Fürth,18.8,721,869,83.0
229,Oliver Baumann,Hoffenheim,33.0,1210,1521,79.6
230,Timo Baumgartl,Union Berlin,24.1,937,1167,80.3
231,Julian Baumgartlinger,Leverkusen,1.0,58,66,87.9
232,Christoph Baumgartner,Hoffenheim,21.0,542,753,72.0
233,Jon Bautista,Real Sociedad,0.5,6,8,75.0
234,Paul Baysse,Bordeaux,0.1,2,4,50.0
235,Noah Joel Sarenren Bazee,Augsburg,2.7,31,51,60.8
236,Bebé,Rayo Vallecano,9.6,211,342,61.7
237,Ihlas Bebou,Hoffenheim,23.2,456,631,72.3
238,Rodrigo Becão,Udinese,34.8,1114,1398,79.7
239,Mads Bech Sørensen,Brentford,9.3,387,500,77.4
240,Sheraldo Becker,Union Berlin,19.5,385,610,63.1
241,Jan Bednarek,Southampton,29.2,1185,1431,82.8
242,Donny van de Beek,Everton,5.4,202,241,83.8
243,Donny van de Beek,Manchester Utd,0.8,25,32,78.1
244,Asmir Begović,Everton,3.0,35,84,41.7
245,Valon Behrami,Genoa,3.5,51,70,72.9
246,Kevin Behrens,Union Berlin,5.5,127,184,69.0
247,Youcef Belaïli,Brest,9.2,274,390,70.3
248,Vid Belec,Salernitana,21.5,363,579,62.7
249,Ishak Belfodil,Hertha BSC,18.2,331,471,70.3
250,Haris Belkebla,Brest,25.7,847,1008,84.0
251,Stefan Bell,Mainz 05,31.8,1166,1479,78.8
252,Armel Bella Kotchap,Bochum,19.6,585,743,78.7
253,Raoul Bellanova,Cagliari,27.7,678,940,72.1
254,Karim Bellarabi,Leverkusen,7.6,199,267,74.5
255,Jean-Ricner Bellegarde,Strasbourg,25.9,897,1079,83.1
256,Héctor Bellerín,Betis,22.0,813,1064,76.4
257,Jude Bellingham,Dortmund,31.0,1298,1536,84.5
258,George Bello,Arminia,4.8,138,177,78.0
259,Jeanöel Belocian,Rennes,0.1,8,10,80.0
260,Andrea Belotti,Torino,15.2,254,359,70.8
261,Fran Beltrán,Celta Vigo,28.9,1728,1904,90.8
