,Player▲,Squad,90s,Gls,Ast,G+A,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90
413,Leandro Cabrera,Espanyol,37.0,2,0,0.05,1.3,1.3,0.3,1.6,0.04,0.01,0.04,0.04,0.04
414,Liberato Cacace,Empoli,5.2,0,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
415,Martín Cáceres,Levante,7.4,0,0,0.0,0.0,0.0,0.1,0.1,0.0,0.02,0.02,0.0,0.02
416,Martín Cáceres,Cagliari,9.2,1,1,0.22,0.3,0.3,0.4,0.7,0.03,0.04,0.07,0.03,0.07
417,Anthony Caci,Strasbourg,26.6,1,3,0.15,1.2,1.2,4.0,5.2,0.04,0.15,0.19,0.04,0.19
418,Mathieu Cafaro,Reims,2.1,0,0,0.0,0.2,0.2,0.3,0.5,0.11,0.14,0.25,0.11,0.25
419,Yannick Cahuzac,Lens,6.9,0,0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01
420,Felipe Caicedo,Genoa,3.2,1,2,0.95,1.2,1.2,0.9,2.2,0.39,0.29,0.68,0.39,0.68
421,Felipe Caicedo,Inter,0.3,0,0,0.0,0.0,0.0,0.2,0.2,0.0,0.67,0.67,0.0,0.67
422,Moisés Caicedo,Brighton,7.3,1,1,0.27,0.8,0.8,0.4,1.1,0.1,0.05,0.16,0.1,0.16
423,Marc-Aurèle Caillard,Metz,17.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424,Jens Cajuste,Reims,4.0,2,0,0.49,1.9,1.1,0.1,1.2,0.46,0.02,0.48,0.28,0.29
425,Cala,Cádiz,10.5,0,0,0.0,0.6,0.6,0.0,0.6,0.05,0.0,0.05,0.05,0.05
426,Davide Calabria,Milan,23.5,2,2,0.17,3.2,3.2,1.4,4.6,0.14,0.06,0.2,0.14,0.2
427,Riccardo Calafiori,Genoa,0.9,0,0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
428,Riccardo Calafiori,Roma,1.9,0,1,0.52,0.0,0.0,0.8,0.8,0.0,0.41,0.41,0.0,0.41
429,Mattia Caldara,Venezia,30.0,1,0,0.03,1.7,1.7,0.0,1.7,0.06,0.0,0.06,0.06,0.06
430,Calderón,Betis,0.7,0,0,0.0,0.0,0.0,0.1,0.1,0.0,0.19,0.19,0.0,0.19
431,Fernando Calero,Espanyol,12.1,0,0,0.0,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02
432,Duje Ćaleta-Car,Marseille,22.9,2,0,0.09,1.6,1.6,0.7,2.2,0.07,0.03,0.1,0.07,0.1
433,Hakan Çalhanoğlu,Inter,27.6,7,12,0.69,6.5,3.9,8.3,12.2,0.23,0.3,0.54,0.14,0.44
434,Daniel Caligiuri,Augsburg,22.3,4,2,0.27,4.1,1.9,2.5,4.3,0.19,0.11,0.3,0.08,0.19
