,Player▲,Squad,90s,Gls,Ast,G+A,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90
1364,Caoimhín Kelleher,Liverpool,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1365,Marc-Oliver Kempf,Hertha BSC,11.7,0,1,0.09,0.6,0.6,0.4,1.0,0.05,0.03,0.08,0.05,0.08
1366,Marc-Oliver Kempf,Stuttgart,9.3,3,0,0.32,1.0,1.0,0.5,1.6,0.11,0.06,0.17,0.11,0.17
1367,Kenedy,Chelsea,0.6,0,1,1.55,0.1,0.1,0.9,1.0,0.13,1.35,1.48,0.13,1.48
1368,Jonjoe Kenny,Everton,11.3,0,1,0.09,0.3,0.3,0.5,0.9,0.03,0.05,0.08,0.03,0.08
1369,Dimitrios Keramitsis,Roma,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1370,Franck Kessié,Milan,25.6,6,0,0.23,4.4,2.1,1.5,3.6,0.17,0.06,0.23,0.08,0.14
1371,Saîf-Eddine Khaoui,Clermont Foot,10.3,1,0,0.1,2.1,2.1,1.0,3.0,0.2,0.1,0.3,0.2,0.3
1372,Wahbi Khazri,Saint-Étienne,24.7,10,0,0.4,8.9,5.8,3.1,9.0,0.36,0.13,0.49,0.24,0.36
1373,Rani Khedira,Union Berlin,30.6,0,1,0.03,1.2,1.2,0.4,1.6,0.04,0.01,0.05,0.04,0.05
1374,Kike,Osasuna,20.7,5,1,0.29,7.0,6.2,2.1,8.3,0.34,0.1,0.44,0.3,0.4
1375,Luca Kilian,Mainz 05,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1376,Luca Kilian,Köln,25.3,1,0,0.04,1.1,1.1,0.2,1.3,0.04,0.01,0.05,0.04,0.05
1377,Max Kilman,Wolves,29.9,1,0,0.03,1.0,1.0,0.0,1.0,0.03,0.0,0.03,0.03,0.03
1378,Joshua Kimmich,Bayern Munich,27.5,3,9,0.44,2.1,2.1,9.2,11.2,0.08,0.33,0.41,0.08,0.41
1379,Presnel Kimpembe,Paris S-G,28.6,1,0,0.03,0.9,0.9,0.1,1.0,0.03,0.0,0.03,0.03,0.03
1380,Joshua King,Watford,25.0,5,3,0.32,8.0,7.2,3.2,10.4,0.32,0.13,0.45,0.29,0.42
1381,Jakub Kiwior,Spezia,21.8,0,0,0.0,0.4,0.4,0.2,0.6,0.02,0.01,0.03,0.02,0.03
1382,Sofian Kiyine,Venezia,13.8,1,0,0.07,1.7,0.7,2.3,3.0,0.12,0.17,0.29,0.05,0.22
1383,Simon Kjær,Milan,8.9,0,0,0.0,0.6,0.6,0.3,1.0,0.07,0.04,0.11,0.07,0.11
1384,Kristoffer Klaesson,Leeds United,0.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1385,Philipp Klement,Stuttgart,3.8,1,0,0.27,0.3,0.3,0.9,1.2,0.08,0.25,0.32,0.08,0.32
1386,Mateusz Klich,Leeds United,23.0,1,2,0.13,2.8,2.8,2.2,4.9,0.12,0.09,0.21,0.12,0.21
1387,Thibault Klidje,Bordeaux,1.0,0,0,0.0,0.0,0.0,0.7,0.7,0.02,0.75,0.77,0.02,0.77
1388,Mateo Klimowicz,Stuttgart,6.7,0,1,0.15,0.9,0.9,0.5,1.4,0.13,0.07,0.21,0.13,0.21
1389,Fabian Klos,Arminia,15.8,3,1,0.25,5.0,3.5,1.3,4.8,0.32,0.09,0.4,0.22,0.3
1390,Lukas Klostermann,RB Leipzig,18.3,0,1,0.05,0.3,0.3,0.3,0.5,0.01,0.01,0.03,0.01,0.03
1391,Justin Kluivert,Nice,20.8,4,5,0.43,3.3,3.3,4.4,7.6,0.16,0.21,0.37,0.16,0.37
1392,Lukas Klünter,Hertha BSC,2.2,0,0,0.0,0.0,0.0,0.3,0.3,0.0,0.15,0.15,0.0,0.15
1393,Ansgar Knauff,Dortmund,1.3,0,0,0.0,0.1,0.1,0.1,0.2,0.07,0.11,0.18,0.07,0.18
1394,Ansgar Knauff,Eint Frankfurt,8.4,1,1,0.24,0.5,0.5,1.0,1.6,0.06,0.12,0.19,0.06,0.19
1395,Robin Knoche,Union Berlin,33.0,0,0,0.0,0.4,0.4,0.2,0.6,0.01,0.01,0.02,0.01,0.02
1396,Gregor Kobel,Dortmund,28.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1397,Robin Koch,Leeds United,17.5,0,0,0.0,0.7,0.7,0.5,1.3,0.04,0.03,0.07,0.04,0.07
1398,Samuel Koeberlé,Reims,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1399,Philippe Koffi,Reims,4.2,1,0,0.24,0.8,0.8,0.2,1.0,0.19,0.05,0.24,0.19,0.24
1400,Dominik Kohr,Mainz 05,17.9,0,3,0.17,1.2,1.2,1.6,2.8,0.07,0.09,0.16,0.07,0.16
1401,Koba Koindredi,Valencia,2.0,0,0,0.0,0.0,0.0,0.1,0.1,0.01,0.04,0.05,0.01,0.05
1402,Koke,Atlético Madrid,27.9,1,2,0.11,1.0,1.0,1.9,2.9,0.04,0.07,0.1,0.04,0.1
1403,Aleksandr Kokorin,Fiorentina,0.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1404,Aleksandar Kolarov,Inter,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
1405,Sead Kolašinac,Arsenal,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1406,Sead Kolašinac,Marseille,4.9,0,1,0.2,0.0,0.0,0.2,0.2,0.0,0.04,0.04,0.0,0.04
1407,Luca Koleosho,Espanyol,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1408,Randal Kolo Muani,Nantes,32.8,12,4,0.49,9.9,9.9,4.5,14.4,0.3,0.14,0.44,0.3,0.44
1409,Timothée Kolodziejczak,Saint-Étienne,28.5,2,3,0.18,1.9,1.9,1.6,3.5,0.07,0.06,0.12,0.07,0.12
1410,Ghislain Konan,Reims,26.9,1,3,0.15,0.5,0.5,2.7,3.2,0.02,0.1,0.12,0.02,0.12
1411,Ibrahima Konaté,Liverpool,11.0,0,0,0.0,0.3,0.3,0.1,0.4,0.02,0.01,0.03,0.02,0.03
1412,Geoffrey Kondogbia,Atlético Madrid,20.9,1,2,0.14,0.5,0.5,1.0,1.4,0.02,0.05,0.07,0.02,0.07
1413,Ibrahima Koné,Lorient,8.1,5,1,0.74,2.9,2.9,2.1,5.1,0.36,0.26,0.62,0.36,0.62
1414,Kouadio Koné,M'Gladbach,24.3,2,0,0.08,1.6,1.6,0.7,2.3,0.07,0.03,0.09,0.07,0.09
1415,Youssouf Koné,Troyes,10.9,0,1,0.09,0.2,0.2,1.0,1.2,0.02,0.09,0.11,0.02,0.11
1416,Ezri Konsa,Aston Villa,27.5,2,0,0.07,1.5,1.5,0.3,1.7,0.05,0.01,0.06,0.05,0.06
1417,Teun Koopmeiners,Atalanta,23.6,4,1,0.21,2.2,2.2,4.9,7.1,0.09,0.21,0.3,0.09,0.3
1418,Laurent Koscielny,Bordeaux,10.4,0,1,0.1,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02
1419,Odilon Kossonou,Leverkusen,19.9,0,1,0.05,0.1,0.1,0.7,0.8,0.01,0.03,0.04,0.01,0.04
1420,Filip Kostić,Eint Frankfurt,28.0,4,9,0.46,2.8,2.8,9.8,12.7,0.1,0.35,0.45,0.1,0.45
1421,Rominigue Kouamé,Troyes,33.0,1,2,0.09,2.6,2.6,2.0,4.6,0.08,0.06,0.14,0.08,0.14
1422,Kalidou Koulibaly,Napoli,26.7,3,1,0.15,1.7,1.7,0.5,2.2,0.07,0.02,0.08,0.07,0.08
1423,Jules Koundé,Sevilla,30.4,2,1,0.1,1.2,1.2,1.9,3.1,0.04,0.06,0.1,0.04,0.1
1424,Christos Kourfalidis,Cagliari,0.2,0,0,0.0,0.2,0.2,0.0,0.2,1.06,0.0,1.06,1.06,1.06
1425,Boubakar Kouyaté,Metz,29.6,1,0,0.03,1.8,1.8,0.1,1.9,0.06,0.0,0.06,0.06,0.06
1426,Cheikhou Kouyaté,Crystal Palace,21.9,0,1,0.05,0.6,0.6,0.7,1.3,0.03,0.03,0.06,0.03,0.06
1427,Mateo Kovačić,Chelsea,17.3,2,5,0.4,1.8,1.8,3.6,5.5,0.11,0.21,0.32,0.11,0.32
1428,Viktor Kovalenko,Spezia,14.7,1,3,0.27,0.3,0.3,1.3,1.6,0.02,0.09,0.11,0.02,0.11
1429,Emil Krafth,Newcastle Utd,18.2,0,1,0.06,0.2,0.2,0.8,1.0,0.01,0.04,0.06,0.01,0.06
1430,Alex Král,West Ham,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1431,Andrej Kramarić,Hoffenheim,30.1,6,9,0.5,11.5,11.5,6.3,17.9,0.38,0.21,0.59,0.38,0.59
1432,Christoph Kramer,M'Gladbach,8.3,0,0,0.0,0.2,0.2,0.2,0.4,0.02,0.03,0.05,0.02,0.05
1433,Jean-Philippe Krasso,Saint-Étienne,5.0,1,1,0.4,1.6,1.6,0.6,2.1,0.31,0.11,0.42,0.31,0.42
1434,Julian Kristoffersen,Salernitana,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.61,0.61,0.61
1435,Toni Kroos,Real Madrid,23.4,1,3,0.17,2.0,2.0,3.5,5.5,0.08,0.15,0.23,0.08,0.23
1436,Florian Krüger,Arminia,12.5,1,2,0.24,1.4,1.4,1.6,3.0,0.11,0.13,0.24,0.11,0.24
1437,Tim Krul,Norwich City,29.0,0,0,0.0,0.0,0.0,0.4,0.4,0.0,0.01,0.01,0.0,0.01
1438,Rade Krunić,Milan,15.7,0,1,0.06,0.9,0.9,0.9,1.8,0.06,0.05,0.11,0.06,0.11
1439,Max Kruse,Wolfsburg,12.5,7,1,0.64,5.1,3.6,2.0,5.6,0.41,0.16,0.57,0.29,0.45
1440,Max Kruse,Union Berlin,14.1,5,4,0.64,4.9,2.6,3.4,6.0,0.35,0.24,0.59,0.18,0.43
1441,Lukas Kübler,Freiburg,25.9,2,0,0.08,1.2,1.2,0.9,2.1,0.05,0.04,0.08,0.05,0.08
1442,Takefusa Kubo,Mallorca,17.8,1,0,0.06,3.1,3.1,2.6,5.7,0.17,0.15,0.32,0.17,0.32
1443,Juraj Kucka,Watford,21.3,1,1,0.09,3.1,3.1,0.9,4.0,0.15,0.04,0.19,0.15,0.19
1444,Mykola Kukharevych,Troyes,0.2,0,0,0.0,0.1,0.1,0.0,0.1,0.45,0.0,0.45,0.45,0.45
1445,Dejan Kulusevski,Juventus,8.6,1,3,0.47,1.9,1.9,1.2,3.1,0.22,0.14,0.37,0.22,0.37
1446,Dejan Kulusevski,Tottenham,14.0,5,8,0.93,3.4,3.4,3.5,6.9,0.24,0.25,0.5,0.24,0.5
1447,Marash Kumbulla,Roma,11.4,0,0,0.0,0.8,0.8,0.0,0.8,0.07,0.0,0.07,0.07,0.07
1448,Fabian Kunze,Arminia,14.0,0,0,0.0,0.3,0.3,0.2,0.5,0.02,0.01,0.04,0.02,0.04
1449,Enock Kwateng,Bordeaux,22.2,1,0,0.04,0.4,0.4,1.1,1.5,0.02,0.05,0.07,0.02,0.07
1450,Grejohn Kyei,Clermont Foot,4.4,0,1,0.23,1.6,1.6,1.0,2.6,0.36,0.23,0.58,0.36,0.58
1451,Giorgos Kyriakopoulos,Sassuolo,21.9,0,5,0.23,0.9,0.9,3.2,4.2,0.04,0.15,0.19,0.04,0.19
1452,Andrea La Mantia,Empoli,5.4,2,0,0.37,1.9,1.9,0.3,2.2,0.35,0.06,0.41,0.35,0.41
1453,Gaëtan Laborde,Montpellier,3.8,3,0,0.79,1.8,1.8,0.5,2.3,0.48,0.12,0.59,0.48,0.59
1454,Gaëtan Laborde,Rennes,30.3,12,8,0.66,15.3,13.7,4.1,17.8,0.5,0.13,0.64,0.45,0.59
1455,Alexandre Lacazette,Arsenal,19.8,4,7,0.56,7.9,5.6,2.0,7.6,0.4,0.1,0.5,0.28,0.38
1456,Tom Lacoux,Bordeaux,10.1,0,0,0.0,0.0,0.0,0.4,0.4,0.0,0.04,0.04,0.0,0.04
1457,Lenny Lacroix,Metz,2.2,0,1,0.45,0.1,0.1,0.0,0.1,0.05,0.01,0.06,0.05,0.06
1458,Maxence Lacroix,Wolfsburg,27.7,0,0,0.0,1.2,1.2,0.6,1.8,0.04,0.02,0.06,0.04,0.06
1459,Alban Lafont,Nantes,38.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1460,Víctor Laguardia,Alavés,33.8,3,2,0.15,1.9,1.9,0.2,2.1,0.06,0.0,0.06,0.06,0.06
1461,Konrad Laimer,RB Leipzig,13.8,4,4,0.58,2.3,2.3,1.8,4.1,0.17,0.13,0.3,0.17,0.3
1462,Stefan Lainer,M'Gladbach,16.3,1,2,0.18,0.6,0.6,2.5,3.1,0.04,0.15,0.19,0.04,0.19
1463,Diego Lainez,Betis,1.6,0,0,0.0,0.1,0.1,0.2,0.3,0.03,0.13,0.16,0.03,0.16
1464,Adam Lallana,Brighton,17.3,0,1,0.06,1.2,1.2,0.7,1.9,0.07,0.04,0.11,0.07,0.11
1465,Vassilis Lambropoulos,Bochum,13.0,0,0,0.0,0.1,0.1,0.0,0.2,0.01,0.0,0.01,0.01,0.01
1466,Érik Lamela,Sevilla,11.3,5,2,0.62,2.7,2.7,1.9,4.6,0.24,0.17,0.41,0.24,0.41
1467,Mohamed Lamine Bayo,Clermont Foot,26.8,14,5,0.71,14.0,11.6,4.8,16.4,0.52,0.18,0.7,0.43,0.61
1468,Didier Lamkel Zé,Metz,6.7,3,0,0.45,2.2,2.2,0.2,2.5,0.33,0.03,0.37,0.33,0.37
1469,Sam Lammers,Atalanta,0.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1470,Sam Lammers,Eint Frankfurt,5.7,1,0,0.17,1.2,1.2,0.4,1.6,0.22,0.07,0.29,0.22,0.29
1471,Tariq Lamptey,Brighton,17.3,0,2,0.12,0.8,0.8,2.2,3.0,0.05,0.13,0.17,0.05,0.17
1472,Manuel Lanzini,West Ham,19.8,5,3,0.4,3.5,1.2,2.2,3.4,0.18,0.11,0.29,0.06,0.17
1473,Aymeric Laporte,Manchester City,31.4,4,0,0.13,4.3,4.3,0.5,4.8,0.14,0.02,0.15,0.14,0.15
1474,Julien Laporte,Lorient,32.1,2,0,0.06,1.3,1.3,0.4,1.7,0.04,0.01,0.05,0.04,0.05
1475,Yasser Larouci,Troyes,3.8,0,0,0.0,0.1,0.1,0.1,0.2,0.03,0.02,0.05,0.03,0.05
1476,Kevin Lasagna,Hellas Verona,13.2,2,4,0.46,3.5,3.5,2.2,5.7,0.27,0.17,0.44,0.27,0.44
1477,Jamaal Lascelles,Newcastle Utd,22.9,1,0,0.04,1.1,1.1,0.3,1.4,0.05,0.01,0.06,0.05,0.06
1478,Bryan Lasme,Arminia,9.7,2,0,0.21,0.8,0.8,0.4,1.3,0.09,0.04,0.13,0.09,0.13
1479,Paul Lasne,Brest,9.4,0,1,0.11,0.4,0.4,1.2,1.6,0.04,0.13,0.17,0.04,0.17
1480,Latasa,Real Madrid,0.1,0,0,0.0,0.1,0.1,0.0,0.1,1.19,0.0,1.19,1.19,1.19
1481,Toni Lato,Valencia,6.6,0,1,0.15,0.0,0.0,0.5,0.5,0.0,0.07,0.07,0.0,0.07
1482,Armand Lauriente,Lorient,27.5,6,2,0.29,7.4,6.6,4.2,10.8,0.27,0.15,0.42,0.24,0.39
1483,Darko Lazović,Hellas Verona,30.7,1,7,0.26,3.6,3.6,5.7,9.3,0.12,0.19,0.3,0.12,0.3
1484,Manuel Lazzari,Lazio,18.5,3,3,0.32,0.9,0.9,2.0,2.9,0.05,0.11,0.16,0.05,0.16
1485,Théo Le Bris,Lorient,0.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1486,Jérémy Le Douaron,Brest,16.1,5,3,0.5,4.1,4.1,2.6,6.7,0.25,0.16,0.42,0.25,0.42
1487,Enzo Le Fée,Lorient,24.4,2,3,0.21,2.1,2.1,2.3,4.4,0.09,0.1,0.18,0.09,0.18
1488,Vincent Le Goff,Lorient,34.0,1,1,0.06,1.4,1.4,1.9,3.3,0.04,0.06,0.1,0.04,0.1
1489,Maxime Le Marchand,Strasbourg,9.6,1,1,0.21,0.3,0.3,0.1,0.4,0.03,0.01,0.04,0.03,0.04
1490,Robin Le Normand,Real Sociedad,37.0,1,1,0.05,1.3,1.3,0.2,1.5,0.03,0.01,0.04,0.03,0.04
1491,Patrick Leal,Venezia,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492,Rafael Leão,Milan,28.9,11,10,0.73,9.1,9.1,6.3,15.4,0.32,0.22,0.53,0.32,0.53
1493,Jean-Louis Leca,Lens,25.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1494,Jeremías Ledesma,Cádiz,38.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495,Pierre Lees-Melou,Norwich City,25.2,1,0,0.04,1.6,1.6,1.7,3.4,0.07,0.07,0.13,0.07,0.13
1496,Wu Lei,Espanyol,5.3,1,0,0.19,0.7,0.7,1.0,1.7,0.14,0.18,0.33,0.14,0.33
1497,Maxim Leitsch,Bochum,17.1,1,0,0.06,1.0,1.0,0.4,1.3,0.06,0.02,0.08,0.06,0.08
1498,Lucas Leiva,Lazio,18.9,0,0,0.0,0.1,0.1,0.3,0.4,0.0,0.02,0.02,0.0,0.02
1499,Florian Lejeune,Alavés,30.0,0,0,0.0,1.6,1.6,0.3,1.8,0.05,0.01,0.06,0.05,0.06
1500,Iñigo Lekue,Athletic Club,21.4,0,2,0.09,0.2,0.2,2.1,2.3,0.01,0.1,0.11,0.01,0.11
1501,Thomas Lemar,Atlético Madrid,16.0,4,5,0.56,3.4,3.4,3.1,6.4,0.21,0.19,0.4,0.21,0.4
1502,Félix Lemaréchal,Monaco,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1503,Mario Lemina,Nice,21.9,2,0,0.09,1.8,1.8,0.4,2.2,0.08,0.02,0.1,0.08,0.1
1504,Fabien Lemoine,Lorient,12.4,0,1,0.08,0.3,0.3,0.9,1.2,0.02,0.07,0.09,0.02,0.09
1505,Tim Lemperle,Köln,1.7,2,0,1.21,1.3,1.3,0.9,2.2,0.79,0.52,1.32,0.79,1.32
1506,Ruben Lendinez,Valencia,1.5,0,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
1507,Clément Lenglet,Barcelona,9.2,0,1,0.11,0.1,0.1,0.6,0.7,0.02,0.06,0.08,0.02,0.08
1508,Aaron Lennon,Burnley,17.2,2,0,0.12,1.1,1.1,0.5,1.6,0.06,0.03,0.09,0.06,0.09
1509,Bernd Leno,Arsenal,4.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1510,Christopher Lenz,Eint Frankfurt,7.4,0,1,0.14,0.1,0.1,0.9,1.0,0.02,0.12,0.14,0.02,0.14
1511,Léo Leroy,Montpellier,7.0,0,0,0.0,0.2,0.2,0.2,0.4,0.04,0.02,0.06,0.04,0.06
1512,Alexandre Letellier,Paris S-G,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1513,Robert Lewandowski,Bayern Munich,32.7,35,3,1.16,32.6,28.9,5.7,34.5,1.0,0.17,1.17,0.88,1.05
1514,Jamie Leweling,Greuther Fürth,21.8,5,1,0.28,4.1,4.1,1.6,5.7,0.19,0.08,0.26,0.19,0.26
1515,Jamal Lewis,Newcastle Utd,2.9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
1516,Luca Lezzerini,Venezia,5.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517,Ben Lhassine Kone,Torino,0.9,0,0,0.0,0.0,0.0,0.1,0.1,0.0,0.09,0.09,0.0,0.09
1518,Yanis Lhery,Saint-Étienne,0.8,0,0,0.0,0.3,0.3,0.0,0.3,0.39,0.0,0.39,0.39,0.39
1519,Dimitri Liénard,Strasbourg,22.7,2,3,0.22,1.5,1.5,3.6,5.1,0.06,0.16,0.22,0.06,0.22
1520,Philipp Lienhart,Freiburg,31.9,5,0,0.16,2.6,2.6,0.1,2.7,0.08,0.0,0.09,0.08,0.09
1521,Matthijs de Ligt,Juventus,29.7,3,1,0.13,1.6,1.6,0.5,2.1,0.05,0.02,0.07,0.05,0.07
1522,Isaac Lihadji,Lille,2.6,1,3,1.51,0.9,0.9,1.9,2.8,0.36,0.71,1.07,0.36,1.07
1523,Anderson Lima,Lazio,0.7,0,0,0.0,0.1,0.1,0.0,0.1,0.07,0.0,0.07,0.07,0.07
1524,Andreas Linde,Greuther Fürth,12.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1525,Victor Lindelöf,Manchester Utd,26.2,0,2,0.08,0.3,0.3,0.5,0.8,0.01,0.02,0.03,0.01,0.03
1526,Jesper Lindstrøm,Eint Frankfurt,22.0,5,4,0.41,6.8,6.8,5.4,12.2,0.31,0.25,0.56,0.31,0.56
1527,Karol Linetty,Torino,10.0,0,0,0.0,0.9,0.9,1.4,2.3,0.09,0.14,0.23,0.09,0.23
1528,Jesse Lingard,Manchester Utd,4.1,2,0,0.49,0.7,0.7,0.4,1.1,0.17,0.1,0.26,0.17,0.26
1529,Pol Lirola,Marseille,19.7,1,2,0.15,1.5,1.5,2.8,4.2,0.07,0.14,0.22,0.07,0.22
1530,Valentino Livramento,Southampton,24.5,1,1,0.08,1.2,1.2,2.3,3.4,0.05,0.09,0.14,0.05,0.14
1531,Dejan Ljubicic,Köln,21.9,3,1,0.18,2.3,2.3,3.5,5.8,0.11,0.16,0.27,0.11,0.27
1532,Javier Llabrés,Mallorca,1.5,0,0,0.0,0.1,0.1,0.1,0.2,0.1,0.05,0.15,0.1,0.15
1533,Diego Llorente,Leeds United,26.0,3,0,0.12,1.4,1.4,0.1,1.4,0.05,0.0,0.06,0.05,0.06
1534,Marcos Llorente,Atlético Madrid,27.2,0,2,0.07,0.8,0.8,2.8,3.6,0.03,0.1,0.13,0.03,0.13
1535,Hugo Lloris,Tottenham,38.0,0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.01,0.01,0.0,0.01
1536,Giovani Lo Celso,Villarreal,11.0,1,1,0.18,1.3,1.3,2.2,3.5,0.12,0.2,0.31,0.12,0.31
1537,Giovani Lo Celso,Tottenham,2.6,0,0,0.0,0.7,0.7,0.6,1.4,0.28,0.24,0.52,0.28,0.52
1538,Julen Lobete,Real Sociedad,3.2,2,0,0.63,1.5,1.5,0.0,1.5,0.48,0.0,0.49,0.48,0.49
1539,Stanislav Lobotka,Napoli,18.7,1,0,0.05,0.1,0.1,0.6,0.7,0.0,0.03,0.04,0.0,0.04
1540,Jürgen Locadia,Brighton,0.3,0,0,0.0,0.1,0.1,0.0,0.1,0.45,0.0,0.45,0.45,0.45
1541,Jürgen Locadia,Bochum,4.9,2,1,0.61,2.0,1.2,0.6,1.8,0.4,0.11,0.51,0.25,0.36
1542,Manuel Locatelli,Juventus,24.0,3,3,0.25,2.1,2.1,1.8,3.9,0.09,0.08,0.16,0.09,0.16
1543,Banzouzi Locko,Reims,11.2,1,1,0.18,0.2,0.2,0.4,0.6,0.02,0.03,0.05,0.02,0.05
1544,Renan Lodi,Atlético Madrid,13.1,2,2,0.3,0.7,0.7,1.9,2.6,0.05,0.15,0.2,0.05,0.2
1545,Ruben Loftus-Cheek,Chelsea,15.5,0,2,0.13,1.2,1.2,1.9,3.1,0.08,0.12,0.2,0.08,0.2
1546,Kevin Long,Burnley,4.6,0,0,0.0,0.2,0.2,0.0,0.2,0.03,0.0,0.03,0.03,0.03
1547,Shane Long,Southampton,3.4,1,0,0.29,1.0,1.0,0.1,1.1,0.29,0.03,0.32,0.29,0.32
1548,Sean Longstaff,Newcastle Utd,16.3,1,1,0.12,1.2,1.2,0.7,1.9,0.07,0.04,0.12,0.07,0.12
1549,Ademola Lookman,Leicester City,16.1,6,0,0.37,5.1,5.1,1.9,6.9,0.31,0.12,0.43,0.31,0.43
1550,Anthony Lopes,Lyon,33.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1551,David López,Espanyol,8.3,0,0,0.0,0.5,0.5,0.4,0.9,0.06,0.05,0.11,0.06,0.11
1552,Diego López,Espanyol,35.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1553,Javi López,Alavés,5.1,0,0,0.0,0.0,0.0,0.3,0.3,0.0,0.05,0.05,0.0,0.05
1554,Maxime Lopez,Sassuolo,32.6,2,1,0.09,1.3,1.3,2.9,4.2,0.04,0.09,0.13,0.04,0.13
1555,Pau López,Marseille,29.0,0,1,0.03,0.0,0.0,0.8,0.8,0.0,0.03,0.03,0.0,0.03
1556,Unai López,Rayo Vallecano,12.9,0,0,0.0,1.2,1.2,1.7,2.9,0.09,0.13,0.22,0.09,0.22
1557,Dion Lopy,Reims,18.2,0,0,0.0,1.0,1.0,0.2,1.2,0.05,0.01,0.07,0.05,0.07
1558,Samuel Loric,Lorient,3.0,0,0,0.0,0.1,0.1,0.0,0.1,0.04,0.0,0.04,0.04,0.04
1559,Anthony Losilla,Bochum,32.6,2,0,0.06,1.6,1.6,0.7,2.3,0.05,0.02,0.07,0.05,0.07
1560,Jonas Lössl,Brentford,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1561,Marcel Lotka,Hertha BSC,9.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1562,Jordan Lotomba,Nice,19.8,0,0,0.0,0.7,0.7,1.1,1.8,0.04,0.05,0.09,0.04,0.09
1563,Johaneko Louisjean,Bordeaux,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1564,Imran Louza,Watford,15.7,0,0,0.0,1.1,1.1,1.0,2.1,0.07,0.07,0.14,0.07,0.14
1565,Matteo Lovato,Atalanta,3.4,0,0,0.0,0.0,0.0,0.1,0.2,0.01,0.03,0.05,0.01,0.05
1566,Matteo Lovato,Cagliari,13.8,0,0,0.0,0.4,0.4,0.1,0.5,0.03,0.01,0.04,0.03,0.04
1567,Eduard Löwen,Bochum,15.7,2,2,0.25,2.8,2.1,3.9,5.9,0.18,0.24,0.42,0.13,0.38
1568,Matthew Lowton,Burnley,19.7,1,2,0.15,0.6,0.6,1.3,1.9,0.03,0.07,0.1,0.03,0.1
1569,Anthony Lozano,Cádiz,18.6,7,2,0.48,5.2,5.2,1.0,6.2,0.28,0.06,0.34,0.28,0.34
1570,Hirving Lozano,Napoli,17.9,5,5,0.56,6.1,5.9,2.7,8.6,0.34,0.15,0.49,0.33,0.48
1571,Jean Lucas,Monaco,16.1,1,1,0.12,2.3,2.3,1.6,4.0,0.15,0.1,0.25,0.15,0.25
1572,Anderson Lucoqui,Mainz 05,8.3,1,0,0.12,0.7,0.7,0.2,1.0,0.09,0.03,0.12,0.09,0.12
