,Player,Squad,90s,SCA,SCA90,PassLive,Drib
2817,Mattia Perin,Juventus,4.5,0,0.0,0,0
2818,Sonny Perkins,West Ham,0.0,0,0.0,0,0
2819,Mario Perrone,Salernitana,0.2,0,0.0,0,0
2820,Immanuel Pherai,Dortmund,0.0,0,0.0,0,0
2821,Romain Philippoteaux,Brest,0.3,0,0.0,0,0
2822,Carlo Pinsoglio,Juventus,0.5,0,0.0,0,0
2823,Riccardo Pinzi,Udinese,0.0,0,0.0,0,0
2824,Joel Pohjanpalo,Leverkusen,0.1,0,0.0,0,0
2825,Julian Pollersbeck,Lyon,4.8,0,0.0,0,0
2826,Isaac Price,Everton,0.2,0,0.0,0,0
2827,Alejandro Primo,Levante,1.0,0,0.0,0,0
2828,Nick Proschwitz,Hoffenheim,0.3,0,0.0,0,0
2829,Yacine Qasmi,Rayo Vallecano,0.0,0,0.0,0,0
2830,Dani Raba,Granada,0.3,0,0.0,0,0
2831,Ionuț Radu,Inter,1.0,0,0.0,0,0
2832,Boris Radunović,Cagliari,3.0,0,0.0,0,0
2833,Sidney Raebiger,RB Leipzig,0.0,0,0.0,0,0
2834,Jesuran Rak Sakyi,Crystal Palace,0.9,0,0.0,0,0
2835,Diant Ramaj,Eint Frankfurt,1.0,0,0.0,0,0
2836,Raúl,Betis,0.0,0,0.0,0,0
2837,Nicola Ravaglia,Sampdoria,0.1,0,0.0,0,0
2838,Lluís Recasens,Espanyol,0.5,0,0.0,0,0
2839,Bryan Reynolds,Roma,0.0,0,0.0,0,0
2840,Tiago Ribeiro,Monaco,0.0,0,0.0,0,0
2841,Chris Richards,Bayern Munich,0.0,0,0.0,0,0
2842,Sergio Rico,Paris S-G,0.3,0,0.0,0,0
2843,Maxence Rivera,Saint-Étienne,0.1,0,0.0,0,0
2844,Patrick Roberts,Troyes,0.2,0,0.0,0,0
2845,Joe Rodon,Tottenham,1.0,0,0.0,0,0
2846,Leonardo Román,Mallorca,2.0,0,0.0,0,0
2847,Frederik Rønnow,Union Berlin,7.0,0,0.0,0,0
2848,Unai Ropero,Alavés,0.1,0,0.0,0,0
2849,Romario Rösch,Mainz 05,0.0,0,0.0,0,0
2850,Francesco Rossi,Atalanta,0.4,0,0.0,0,0
2851,John Ruddy,Wolves,1.5,0,0.0,0,0
2852,Alessandro Russo,Salernitana,0.3,0,0.0,0,0
2853,Mathew Ryan,Real Sociedad,3.0,0,0.0,0,0
2854,Mathys Saban,Saint-Étienne,0.8,0,0.0,0,0
2855,Romain Salin,Rennes,1.0,0,0.0,0,0
2856,Juan Sánchez,Sevilla,0.1,0,0.0,0,0
2857,Philippe Sandler,Troyes,0.8,0,0.0,0,0
2858,Jesús Santiago,Valencia,0.9,0,0.0,0,0
2859,Pablo Sarabia,Paris S-G,0.2,0,0.0,0,0
2860,Jeremy Sarmiento,Brighton,0.5,0,0.0,0,0
2861,Bouna Sarr,Bayern Munich,0.7,0,0.0,0,0
2862,Giacomo Satalino,Sassuolo,0.1,0,0.0,0,0
2863,Dane Scarlett,Tottenham,0.0,0,0.0,0,0
2864,Valentino Scotta,Sevilla,0.0,0,0.0,0,0
2865,Lion Semić,Dortmund,0.0,0,0.0,0,0
2866,Adrian Šemper,Genoa,1.0,0,0.0,0,0
2867,Laurens Serpe,Genoa,0.5,0,0.0,0,0
2868,Nils Seufert,Greuther Fürth,1.1,0,0.0,0,0
2869,Shola Shoretire,Manchester Utd,0.2,0,0.0,0,0
2870,Mahame Siby,Strasbourg,0.2,0,0.0,0,0
2871,Aboubakar Sidibé,Clermont Foot,0.1,0,0.0,0,0
2872,Alassane Sidibe,Atalanta,0.1,0,0.0,0,0
2873,Giovanni Simeone,Cagliari,0.1,0,0.0,0,0
2874,Tobias Sippel,M'Gladbach,1.0,0,0.0,0,0
2875,Hugo Siquet,Freiburg,0.2,0,0.0,0,0
2876,Nelson Sissoko,Saint-Étienne,0.5,0,0.0,0,0
2877,Antonio Sivera,Alavés,3.1,0,0.0,0,0
2878,Rubén Sobrino,Valencia,0.2,0,0.0,0,0
2879,Hugo Sotelo,Celta Vigo,0.0,0,0.0,0,0
2880,Marco Sportiello,Atalanta,5.0,0,0.0,0,0
2881,Luca Stanga,Milan,0.0,0,0.0,0,0
2882,Jason Steele,Brighton,1.0,0,0.0,0,0
2883,Jed Steer,Aston Villa,1.0,0,0.0,0,0
2884,Zack Steffen,Manchester City,1.0,0,0.0,0,0
2885,Riccardo Stivanello,Bologna,0.5,0,0.0,0,0
2886,Vladyslav Supriaha,Sampdoria,0.2,0,0.0,0,0
2887,Abdoulaye Sylla,Nantes,1.7,0,0.0,0,0
2888,Waniss Taibi,Angers,1.5,0,0.0,0,0
2889,Oussama Targhalline,Marseille,0.1,0,0.0,0,0
2890,Ciprian Tătărușanu,Milan,6.0,0,0.0,0,0
2891,Filippo Terracciano,Hellas Verona,0.1,0,0.0,0,0
2892,Robert Tesche,Bochum,3.9,0,0.0,0,0
2893,Sada Thioub,Angers,0.0,0,0.0,0,0
2894,Umut Tohumcu,Hoffenheim,0.1,0,0.0,0,0
2895,Cenk Tosun,Everton,0.1,0,0.0,0,0
2896,Trézéguet,Aston Villa,0.1,0,0.0,0,0
2897,Philipp Tschauner,RB Leipzig,0.0,0,0.0,0,0
2898,Maximilian Ullmann,Venezia,2.7,0,0.0,0,0
2899,Sven Ulreich,Bayern Munich,6.0,0,0.0,0,0
2900,Samuel Umtiti,Barcelona,1.0,0,0.0,0,0
2901,Benjamin Uphoff,Freiburg,2.0,0,0.0,0,0
2902,Kacper Urbanski,Bologna,0.5,0,0.0,0,0
2903,Germán Valera,Real Sociedad,0.6,0,0.0,0,0
2904,Jonathan Varane,Lens,0.0,0,0.0,0,0
2905,Denis Vavro,Lazio,0.1,0,0.0,0,0
2906,Vincent Vermeij,Freiburg,0.0,0,0.0,0,0
2907,Daniel Villahermosa,Espanyol,0.3,0,0.0,0,0
2908,Daniel Wass,Atlético Madrid,0.5,0,0.0,0,0
2909,Frederik Winther,Augsburg,3.6,0,0.0,0,0
2910,Freddie Woodman,Newcastle Utd,4.0,0,0.0,0,0
2911,Joscha Wosz,RB Leipzig,0.1,0,0.0,0,0
2912,Sekou Yansané,Paris S-G,0.2,0,0.0,0,0
2913,Gerard Yepes,Sampdoria,0.2,0,0.0,0,0
2914,Okay Yokuşlu,Celta Vigo,1.6,0,0.0,0,0
2915,Leny Yoro,Lille,0.1,0,0.0,0,0
2916,Nathan Young-Coombes,Brentford,0.0,0,0.0,0,0
2917,Luca Zidane,Rayo Vallecano,7.2,0,0.0,0,0
2918,Christoph Zimmermann,Norwich City,1.7,0,0.0,0,0
2919,Banhie Zoukrou,Troyes,0.9,0,0.0,0,0
2920,Petar Zovko,Spezia,0.3,0,0.0,0,0
